Rank,Name,Position,Team,ByeWeek,ProjectedPoints,Age,SuspendedGames,PlayerId
370,Zach Miller,TE,CHI,7,12.335,30,0,238457
371,Ronnie Hillman,RB,DEN,7,38.3776,23,0,2533437
372,Demetrius Harris,TE,KC,9,12.1559,23,0,2541187
373,James OShaughnessy,TE,KC,9,11.9338,23,0,2553318
374,Jack Doyle,TE,IND,10,11.3924,25,0,2540232
375,Brandon Coleman,WR,NO,11,31.0357,23,0,2550328
376,Matt Asiata,RB,MIN,5,37.3105,27,0,2495258
377,Jacquizz Rodgers,RB,CHI,7,37.2126,25,0,2495471
378,Logan Paulsen,TE,WAS,8,10.7336,28,0,2507828
379,Jim Dray,TE,CLE,11,10.6841,28,0,497226
380,Jeremy Ross,WR,DET,9,30.0599,27,0,2530598
381,Matt Spaeth,TE,PIT,11,9.6506,30,0,2507182
382,Vance McDonald,TE,SF,10,9.6455,25,0,2540215
383,MarQueis Gray,TE,BUF,8,9.6276,24,0,2540259
384,Jeff Heuerman,TE,DEN,7,9.6043,22,0,2552399
385,Damien Williams,RB,MIA,5,35.7409,23,0,2550512
386,Corey Fuller,WR,DET,9,28.9197,25,0,2540261
387,Chris Hogan,WR,BUF,8,28.8693,26,0,2530515
388,Chris Gragg,TE,BUF,8,9.0206,25,0,2539202
389,Quinton Patton,WR,SF,10,28.7205,24,0,2539250
390,Dante Rosario,TE,CHI,7,8.9963,30,0,2495724
391,Dri Archer,RB,PIT,11,27.85,23,0,2543596
391,Dri Archer,RB,PIT,11,27.85,23,0,2543596
392,Cooper Helfet,TE,SEA,9,7.8213,26,0,2536071
393,Marcel Reece,RB,OAK,6,33.8724,30,0,4433
394,Christine Michael,RB,SEA,9,33.8407,24,0,2539322
395,Kennard Backman,TE,GB,7,7.5431,22,0,2553292
396,Craig Stevens,TE,TEN,4,7.4083,30,0,1992
397,Randall Telfer,TE,CLE,11,7.1912,23,0,2552660
398,Trent Richardson,RB,OAK,6,33.3815,23,0,2533032
399,Paul Richardson,WR,SEA,9,26.7291,23,0,2543491
400,Steven Jackson,RB,ATL,10,33.1708,31,0,2505936
402,Preston Parker,WR,NYG,11,26.1373,28,0,497312
403,Adrien Robinson,TE,NYG,11,6.1386,26,0,2534752
404,Blake Bell,TE,SF,10,6.062,23,0,2552478
405,James Hanna,TE,DAL,6,6.0305,25,0,2533028
406,Travaris Cadet,RB,NE,4,32.1799,26,0,2535890
407,Jaron Brown,WR,ARI,9,25.6172,25,0,2541966
408,Nick OLeary,TE,BUF,8,5.4458,22,0,2552403
409,Brandon Lloyd,WR,SF,10,25.15,33,0,2505600
410,Gerell Robinson,TE,MIA,5,5.3902,25,0,2532941
411,Michael Hoomanawanui,TE,NE,4,5.3034,26,0,497246
412,Lee Smith,TE,OAK,6,5.2473,27,0,2495347
413,Aaron Dobson,WR,NE,4,24.9604,23,0,2539256
414,Fred Davis,TE,NE,4,5.0602,29,0,216
415,Cory Harkey,TE,STL,6,5.0575,25,0,2533353
416,Vince Mayle,WR,CLE,11,24.712,24,0,2552431
417,Anthony McCoy,TE,SEA,9,4.9372,27,0,497250
418,C.J. Uzomah,TE,CIN,7,4.7023,22,0,2552559
419,Joseph Morgan,WR,NO,11,24.1939,27,0,2530720
420,Geno Smith,QB,NYJ,5,183.984,24,0,2539335
421,John Phillips,TE,SD,10,4.2331,28,0,71435
422,Nick Boyle,TE,BAL,9,4.1774,22,0,2552402
423,Derek Carrier,TE,SF,10,4.1546,24,0,2534241
425,Jason Avant,WR,KC,9,23.74,32,0,2495802
426,Malcolm Johnson,TE,CLE,11,4.0092,22,0,2553446
427,Taylor Thompson,TE,TEN,4,3.9542,25,0,2534742
428,Gerald Christian,TE,ARI,9,3.8843,23,0,2552462
429,Luke Stocker,TE,TB,6,3.855,26,0,2495234
430,Bear Pascoe,TE,CHI,7,3.8053,29,0,79625
431,Trey Burton,TE,PHI,8,3.724,23,0,2550284
432,Michael Campanaro,WR,BAL,9,23.3834,24,0,2550163
433,Orson Charles,TE,NO,11,3.6374,24,0,2533047
435,Juwan Thompson,RB,DEN,7,29.782,23,0,2550263
436,Rashad Greene,WR,JAC,8,23.1791,22,0,2552425
437,Ben Koyack,TE,JAC,8,3.4492,22,0,2552396
438,Brandon Williams,TE,CAR,5,3.3556,26,0,2539645
439,Garrett Celek,TE,SF,10,3.3315,27,0,2534820
440,Kellen Davis,TE,NYJ,5,3.308,29,0,2507486
